license_type,business_name,street_address,status,city,state,zip_code,phone_no,year,licence_number,full_address,active,lat,lon
Arborist License,A CUT ABOVE TREE SERVICE,"2430 Portage Rd, Niles, MI 49120",RENEWED,NILES,MI,49120,574-276-8355,2021,ARB2021-038,"2430 Portage Rd, Niles, MI 49120, NILES, MI, 49120",FALSE,NA,NA
Automotive Repair License,POWER BRAKE AND SPRING,6139 PARKLAND DR,RENEWED,SOUTH BEND,IN,46628,574-231-7272,2022,AUT2022-009,"6139 PARKLAND DR, SOUTH BEND, IN, 46628",FALSE,NA,NA
Alarm Agent License,HABITEC SECURITY INC,1545 Timberwolf Dr,RENEWED,TOLEDO,OH,43635,800-832-5276,2020,ALR2020-002,"1545 Timberwolf Dr, TOLEDO, OH, 43635",FALSE,NA,NA
Restaurant (A-M) License,MARTIN'S SUPER MARKETS #10,2081   SOUTH BEND AVE,RENEWED,BYRON CENTER,MI,49315,574-272-6922,2020,713RESTAM2020,"2081   SOUTH BEND AVE, BYRON CENTER, MI, 49315",FALSE,NA,NA
Restaurant (N-Z) License,TAQUERIA MILLAN'S MEXICAN FOOD,1502 LINCOLN WAY W,INACTIVE,SOUTH BEND,IN,46628,NA,2020,RST2020-072,"1502 LINCOLN WAY W, SOUTH BEND, IN, 46628",FALSE,41.666636,-86.2385554
Restaurant (N-Z) License,GOBEL'S WAKA DOG CAFE INC.,1809 SOUTH BEND AVE,RENEWED,SOUTH BEND,IN,46637,574-252-4627,2022,RST2022-366,"1809 SOUTH BEND AVE, SOUTH BEND, IN, 46637",FALSE,41.6971582,-86.2212079
Restaurant (N-Z) License,PORTAGE ONE STOP INC.,"3301 PORTAGE AVE SOUTH BEND, IN 46628",RENEWED,SOUTH BEND,IN,46628,574-310-9068,2021,RST2021-209,"3301 PORTAGE AVE SOUTH BEND, IN 46628, SOUTH BEND, IN, 46628",FALSE,NA,NA
Automotive Repair License,PREFERRED COLLISION REPAIR,1134   MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-233-2533,2020,1570AUTO2020,"1134   MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6667159,-86.2337036
Alarm Agent License,SCHNABLE ALARM SYSTEMS INC.,109 2nd St,ACTIVE,LAPORTE,IN,46352,219-362-8969,2023,ALR2023-014,"109 2nd St, LAPORTE, IN, 46352",FALSE,41.6057577,-86.719885
Automotive Repair License,ROB'S SERVICE CENTER,5307 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-288-9110,2020,7244AUTO2020,"5307 W  WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6720636,-86.320989
Restaurant (A-M) License,Broadway Christian Parish,"1412 CARROLL ST, SOUTH BEND, IN, 46613",ACTIVE,SOUTH BEND,IN,46613,574-289-0333,2023,RST2023-115,"1412 CARROLL ST, SOUTH BEND, IN, 46613, SOUTH BEND, IN, 46613",FALSE,NA,NA
Restaurant (N-Z) License,SOUTHSIDE CHRISTIAN CHURCH,1329 E JACKSON RD,ACTIVE,SOUTH BEND,IN,46614,574-291-1156,2023,RST2023-334,"1329 E JACKSON RD, SOUTH BEND, IN, 46614",FALSE,NA,NA
Restaurant (A-M) License,TAIWAN HANLUNG INC / DBA CRE-ASIAN,1639 N IRONWOOD DR,RENEWED,SOUTH BEND,IN,46635,574-247-3000,2021,RST2021-129,"1639 N IRONWOOD DR, SOUTH BEND, IN, 46635",FALSE,41.6976632,-86.2166056
Restaurant (N-Z) License,ROZELL ROYAL RIBS,313 CHAPIN ST,ACTIVE,SOUTH BEND,IN,46601,574-287-9696,2023,RST2023-399,"313 CHAPIN ST, SOUTH BEND, IN, 46601",FALSE,41.6728657,-86.2616498
Restaurant (A-M) License,Jack's Donuts of South Bend,"623 E Lasalle Ave, South Bend, Indiana, 46617",RENEWED,South Bend,IN,46617,312-636-4930,2022,RST2022-133,"623 E Lasalle Ave, South Bend, Indiana, 46617, South Bend, IN, 46617",FALSE,NA,NA
Restaurant (A-M) License,MACRI'S ITALIAN KITCHEN,315 W IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-231-0200,2021,RST2021-374,"315 W IRELAND RD, SOUTH BEND, IN, 46614",FALSE,41.628657,-86.277703
Restaurant (N-Z) License,SPEEDWAY #6620,1706   SOUTH BEND AVE,RENEWED,SPRINGFIELD,OH,45501-1580,574-271-8385,2020,904RESTZ2020,"1706   SOUTH BEND AVE, SPRINGFIELD, OH, 45501-1580",FALSE,NA,NA
Automotive Repair License,"LINE DESIGNS OF INDIANA, INC",2408 S MICHIGAN ST,READY2ISSU,SOUTH BEND,IN,46614,574-234-3456,2023,AUT2023-059,"2408 S MICHIGAN ST, SOUTH BEND, IN, 46614",FALSE,41.6493875,-86.2493587
Mobile Food Vendor (N-Z) 1 Year License,Pink Panther,1408 Lincolnway E.,EXPIRED,Elkhart,IN,46516,574-312-1587,2022,MFV2022-011,"1408 Lincolnway E., Elkhart, IN, 46516",FALSE,41.5726597,-85.8116387
Automotive Repair License,J & S SERVICE,3303 PORTAGE AVE,RENEWED,SOUTH BEND,IN,46628,574-277-8175,2021,AUT2021-058,"3303 PORTAGE AVE, SOUTH BEND, IN, 46628",FALSE,41.7184656,-86.2837659
Restaurant (A-M) License,JIMMY JOHN'S,1234 N  EDDY ST,RENEWED,DOWNERS GROVE,IL,60515,574-277-8500,2020,8341RESTAM2020,"1234 N  EDDY ST, DOWNERS GROVE, IL, 60515",FALSE,NA,NA
Restaurant (A-M) License,TAIWAN HANLUNG INC / DBA CRE-A,1639 N  IRONWOOD DR,RENEWED,SOUTH BEND,IN,46635,574-247-3000,2020,6400RESTAM2020,"1639 N  IRONWOOD DR, SOUTH BEND, IN, 46635",FALSE,41.6976632,-86.2166056
Alarm Agent License,O'REILLY ALARM SERVICES,233 S Patterson Ave,EXPIRED,SPRINGFIELD,MO,65802,417-829-5747,2022,ALR2022-040,"233 S Patterson Ave, SPRINGFIELD, MO, 65802",FALSE,37.2088686,-93.248021
Automotive Repair License,KRAFT TIRE SERVICE,720 W INDIANA AVE,RENEWED,SOUTH BEND,IN,46613,574-234-1242,2022,AUT2022-033,"720 W INDIANA AVE, SOUTH BEND, IN, 46613",FALSE,41.657674,-86.259822
Restaurant (N-Z) License,THE SALVATION ARMY KROC COMMUNITY CENTER,900 W WESTERN AVE,EXPIRED,SOUTH BEND,IN,46601,574-233-9471,2022,RST2022-309,"900 W WESTERN AVE, SOUTH BEND, IN, 46601",FALSE,41.6724543,-86.235427
Automotive Repair License,ORTIZ AUTO BODY SHOP,3501 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-339-4735,2021,AUT2021-027,"3501 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.672022,-86.297416
Restaurant (A-M) License,CHRIST TEMPLE APOSTOLIC CHURCH,2307  ELWOOD AVE,RENEWED,SOUTH BEND,IN,46628,574-233-3892,2021,RST2021-264,"2307  ELWOOD AVE, SOUTH BEND, IN, 46628",FALSE,41.6938978,-86.2827698
Restaurant (N-Z) License,THE VIEW TAVERN,515 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46617,574-288-8439,2021,RST2021-124,"515 E JEFFERSON BLVD, SOUTH BEND, IN, 46617",FALSE,41.6752433,-86.2434571
Restaurant (N-Z) License,RUM VILLAGE INN,2209   KEMBLE AVE,RENEWED,SOUTH BEND,IN,46613,574-288-1773,2020,35RESTZ2020,"2209   KEMBLE AVE, SOUTH BEND, IN, 46613",FALSE,41.6511783,-86.2636378
Restaurant (N-Z) License,WENDY'S #3027,4227 S MICHIGAN ST,EXPIRED,SOUTH BEND,IN,46614,574-291-6171,2022,RST2022-199,"4227 S MICHIGAN ST, SOUTH BEND, IN, 46614",FALSE,41.6310999,-86.2509339
Restaurant (N-Z) License,WILD CRAB,1320 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,NA,2021,RST2021-340,"1320 E IRELAND RD, SOUTH BEND, IN, 46614",FALSE,41.6293444,-86.2312664
Restaurant (A-M) License,BURGER KING #6574,4852 W  WESTERN AVE,RENEWED,MISHAWAKA,IN,46545,574-232-3622,2020,702RESTAM2020,"4852 W  WESTERN AVE, MISHAWAKA, IN, 46545",FALSE,NA,NA
Restaurant (N-Z) License,7-ELEVEN #27054,2207 MISHAWAKA AVE,INACTIVE,SOUTH BEND,IN,46615,574-232-1797,2021,RST2021-442,"2207 MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6657911,-86.2149388
Mobile Food Vendor (N-Z) 1 Year License,REAL GRILLE FOOD TRUCK,121 Garst St,RENEWED,SOUTH BEND,IN,46601,574-256-1662,2020,8309MFT2020,"121 Garst St, SOUTH BEND, IN, 46601",FALSE,41.6634452,-86.253248
Restaurant (A-M) License,THE COFFEE SPOT,3201 SUGAR MAPLE BUSINESS CT,RENEWED,SOUTH BEND,IN,46628,574-288-0398,2021,RST2021-019,"3201 SUGAR MAPLE BUSINESS CT, SOUTH BEND, IN, 46628",FALSE,NA,NA
Transient Merchant License,"GROUP 2 PROMOTIONS, INC.",120 S DR. MARTIN LUTHER KING JR DR,INACTIVE,GRANGER,IN,46530,574-271-8488,2020,5802TRANS2020,"120 S DR. MARTIN LUTHER KING JR DR, GRANGER, IN, 46530",FALSE,NA,NA
Restaurant (A-M) License,ONE STOP #2,3425 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46628,574-233-8403,2022,RST2022-320,"3425 LINCOLN WAY, SOUTH BEND, IN, 46628",FALSE,41.666636,-86.2385554
Restaurant (A-M) License,KNIGHTS OF COLUMBUS#553,"553 E WASHINGTON ST, SOUTH BEND, IN, 46617",RENEWED,SOUTH BEND,IN,46601,574-234-9800,2021,RST2021-335,"553 E WASHINGTON ST, SOUTH BEND, IN, 46617, SOUTH BEND, IN, 46601",FALSE,NA,NA
Restaurant (N-Z) License,PL EXPO 66 INC.,702 LINCOLN WAY E,RENEWED,SOUTH BEND,IN,46601,574-310-9068,2021,RST2021-429,"702 LINCOLN WAY E, SOUTH BEND, IN, 46601",FALSE,NA,NA
Restaurant (A-M) License,El Rancho Vigo DTSB LLC,123 W. Washington St.,READY2ISSU,South Bend,IN,46601,574-383-5256,2023,RST2023-322,"123 W. Washington St., South Bend, IN, 46601",FALSE,41.6764558,-86.2514135
Donation Box License,GOODWILL INDUSTRIES OF MICHIAN,1805 W  WESTERN AVE,INACTIVE,SOUTH BEND,IN,46619,574-472-7300,2020,6652DBAC2020,"1805 W  WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6722472,-86.2749802
Restaurant (A-M) License,DUCOMB CENTER,4161   LATHROP ST,RENEWED,SOUTH BEND,IN,46628,574-236-2121,2020,8470RESTAM2020,"4161   LATHROP ST, SOUTH BEND, IN, 46628",FALSE,41.7081569,-86.3061244
Automotive Repair License,BELLE TIRE DISTRIBUTORS INC.,4337 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,574-314-5226,2022,AUT2022-072,"4337 S MICHIGAN ST, SOUTH BEND, IN, 46614",FALSE,41.6305125,-86.2509872
Restaurant (N-Z) License,RAGAMUFFIN BAKERY & COFFEE,321 S MAIN ST,ACTIVE,SOUTH BEND,IN,46601,765-366-3808,2023,RST2023-306,"321 S MAIN ST, SOUTH BEND, IN, 46601",FALSE,41.6728046,-86.2526466
Restaurant (A-M) License,Fiddler's Hearth Inc,"127 N MAIN ST, SOUTH BEND, IN, 46601",RENEWED,South Bend,IN,46601,574-232-2853,2022,RST2022-081,"127 N MAIN ST, SOUTH BEND, IN, 46601, South Bend, IN, 46601",FALSE,NA,NA
Restaurant (N-Z) License,Taco Bell #3004041,"3208 LINCOLNWAY W,  SOUTH BEND,  46628",RENEWED,South Bend,IN,46637,574-234-2349,2021,RST2021-354,"3208 LINCOLNWAY W,  SOUTH BEND,  46628, South Bend, IN, 46637",FALSE,NA,NA
Restaurant (A-M) License,BEN'S SOFT PRETZEL @  THE S.B.,122 S  MICHIGAN ST,CLOSED,SOUTH BEND,IN,46619,574-233-2577,2020,8016RESTAM2020,"122 S  MICHIGAN ST, SOUTH BEND, IN, 46619",FALSE,41.6755951,-86.2501287
Restaurant (A-M) License,Greater St. John Missionary Baptist Church,"101 N ADAMS ST, SOUTH BEND, IN, 46628",RENEWED,South Bend,IN,46628,574-232-6700,2022,RST2022-088,"101 N ADAMS ST, SOUTH BEND, IN, 46628, South Bend, IN, 46628",FALSE,NA,NA
Restaurant (A-M) License,CHICK-FIL-A,3703 PORTAGE AVE.,RENEWED,SOUTH BEND,IN,46628,574-544-5678,2021,RST2021-468,"3703 PORTAGE AVE., SOUTH BEND, IN, 46628",FALSE,41.7173898,-86.2830721
Secondhand Store License,"ECOATM, LLC",3701   PORTAGE AVE,RENEWED,SAN DIEGO,CA,92121,858-766-7250,2020,7208SECOND2020,"3701   PORTAGE AVE, SAN DIEGO, CA, 92121",FALSE,NA,NA
Restaurant (A-M) License,BORDER'S DAIRY QUEEN,1847 LINCOLN WAY E,RENEWED,SOUTH BEND,IN,46613,574-287-3952,2021,RST2021-116,"1847 LINCOLN WAY E, SOUTH BEND, IN, 46613",FALSE,NA,NA
Alarm Agent License,KOORSEN FIRE & SAFETY,"3953 RALPH JONES DR, SOUTH BEND, IN, 46628",ACTIVE,South Bend,IN,46628,574-277-3322,2023,ALR2023-016,"3953 RALPH JONES DR, SOUTH BEND, IN, 46628, South Bend, IN, 46628",FALSE,NA,NA
Automotive Repair License,ADAN'S AUTO SALES AND SERVICE LLC,"3922 W WESTERN AVE, SOUTH BEND, IN 46619",ACTIVE,SOUTH BEND,IN,46619,219-379-6765,2023,AUT2023-003,"3922 W WESTERN AVE, SOUTH BEND, IN 46619, SOUTH BEND, IN, 46619",FALSE,NA,NA
Arborist License,LEONARD'S LANDSCAPE & TREE,16487 Jackson Rd,RENEWED,MISHAWAKA,IN,46544,574-286-7232,2020,1990ARBOR2020,"16487 Jackson Rd, MISHAWAKA, IN, 46544",FALSE,NA,NA
Secondhand Store License,HOUSE WINS,423 S MICHIGAN ST,ACTIVE,SOUTH BEND,IN,46601,574-904-2207,2023,SHN2023-019,"423 S MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.6720283,-86.2501236
Lawn Parking License,1202 N. TWYCKENHAM DR.,1202 N. TWYCKENHAM DR.,EXPIRED,SOUTH BEND,IN,46617,NA,2022,LWN2022-033,"1202 N. TWYCKENHAM DR., SOUTH BEND, IN, 46617",FALSE,41.6909958,-86.2258448
Taxi Vehicle License,EAGLE CAB LLC,1657 COMMERCE DR.,ACTIVE,SOUTH BEND,IN,46628,574-287-6666,2022,TXV2022-020,"1657 COMMERCE DR., SOUTH BEND, IN, 46628",FALSE,41.6986746,-86.307587
Restaurant (A-M) License,1229 ORIENTAL EXPRESS INC.,1229 E IRELAND RD,ACTIVE,SOUTH BEND,IN,46614,574-291-5588,2023,RST2023-093,"1229 E IRELAND RD, SOUTH BEND, IN, 46614",FALSE,41.6295094,-86.230999
Restaurant (N-Z) License,NOODLES & COMPANY,1233 N. EDDY ST.,RENEWED,SOUTH BEND,IN,46617,720-214-1947,2022,RST2022-002,"1233 N. EDDY ST., SOUTH BEND, IN, 46617",FALSE,41.6913517,-86.2358199
Alarm Agent License,"CHSS, LLC DBA SONITROL OF SOUT",513 E McKinley Ave,RENEWED,Mishawaka,IN,46546,574-334-7478,2020,8061ALARM2020,"513 E McKinley Ave, Mishawaka, IN, 46546",FALSE,41.6803627,-86.1761146
Restaurant (N-Z) License,"Y.W.C.A. NORTH CENTRAL INDIANA, INC.",1102 FELLOWS ST,RENEWED,SOUTH BEND,IN,46601,574-233-9491,2022,RST2022-235,"1102 FELLOWS ST, SOUTH BEND, IN, 46601",FALSE,41.6633995,-86.244644
Alarm Agent License,"ADVANCED SECURITY, INC.",807 Bower St,RENEWED,ELKHART,IN,46514,574-293-6898,2020,4995ALARM2020,"807 Bower St, ELKHART, IN, 46514",FALSE,41.6885983,-85.9867911
Restaurant (N-Z) License,WALMART #2680,3701 PORTAGE AVE,RENEWED,SOUTH BEND,IN,46628,574-243-4915,2021,RST2021-298,"3701 PORTAGE AVE, SOUTH BEND, IN, 46628",FALSE,41.7173898,-86.2830721
Restaurant (N-Z) License,THE LOCAL CUP,1009 PORTAGE AVE,RENEWED,SOUTH BEND,IN,46616,574-232-9182,2021,RST2021-364,"1009 PORTAGE AVE, SOUTH BEND, IN, 46616",FALSE,41.688237,-86.2629285
Peddlers and Canvassers License,ALDER HOLDINGS INC.,"450 N. 1500 W. OREM, UT  84057",INACTIVE,OREM,UT,84057,385-218-2754,2021,PDL2021-020,"450 N. 1500 W. OREM, UT  84057, OREM, UT, 84057",FALSE,NA,NA
Restaurant (A-M) License,COQUILLARD PRIMARY CENTER,1245 N SHERIDAN ST,EXPIRED,SOUTH BEND,IN,46628,574-393-2009,2022,RST2022-454,"1245 N SHERIDAN ST, SOUTH BEND, IN, 46628",FALSE,41.6910693,-86.3029356
Arborist License,ENVIROVISION INC.,3205 BREMEN HWY.,ACTIVE,MISHAWAKA,IN,46544,574-259-4357,2023,ARB2023-008,"3205 BREMEN HWY., MISHAWAKA, IN, 46544",FALSE,41.6318214,-86.1769213
Restaurant (N-Z) License,THE OLIVER INN,630 W WASHINGTON ST,RENEWED,SOUTH BEND,IN,46601,574-232-4545,2022,RST2022-233,"630 W WASHINGTON ST, SOUTH BEND, IN, 46601",FALSE,41.6762286,-86.2582299
Restaurant (A-M) License,BOO'S BACKYARD BBQ,1526 E. MISHAWAKA AVE.,RENEWED,SOUTH BEND,IN,46614,574-303-7769,2021,RST2021-428,"1526 E. MISHAWAKA AVE., SOUTH BEND, IN, 46614",FALSE,41.6660041,-86.2317405
Automotive Repair License,Zolman Tire Inc.,406 E MONROE ST,ACTIVE,SOUTH BEND,IN,46601,574-287-7871,2023,AUT2023-014,"406 E MONROE ST, SOUTH BEND, IN, 46601",FALSE,41.6706086,-86.243842
Restaurant (A-M) License,Jersey Mikes Subs,315 W. Ireland Rd.,READY2ISSU,South Bend,IN,46614,574-800-5800,2023,RST2023-351,"315 W. Ireland Rd., South Bend, IN, 46614",FALSE,41.628657,-86.277703
Restaurant (N-Z) License,University Marathon South,"111 E IRELAND RD, SOUTH BEND, IN, 46614",ACTIVE,SOUTH BEND,IN,46614,574-291-3283,2023,RST2023-207,"111 E IRELAND RD, SOUTH BEND, IN, 46614, SOUTH BEND, IN, 46614",FALSE,NA,NA
Restaurant (N-Z) License,Samuel Mancino's,"910 ERSKINE PLZ, SOUTH BEND, IN, 46614",RENEWED,South Bend,IN,46614,574-231-9940,2020,RST2020-053,"910 ERSKINE PLZ, SOUTH BEND, IN, 46614, South Bend, IN, 46614",FALSE,NA,NA
Restaurant (A-M) License,FRIDOLONGA,3024 Mishawaka Ave,CLOSED,SOUTH BEND,IN,46615,574-404-4549,2020,RST2020-042,"3024 Mishawaka Ave, SOUTH BEND, IN, 46615",FALSE,41.665804,-86.2044122
Restaurant (A-M) License,CIAO'S CATERING,123 N  MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-274-5951,2020,8694RESTAM2020,"123 N  MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.6767465,-86.2504807
Lawn Parking License,1105 N. ST. LOUIS BLVD.,1105 N. ST. LOUIS BLVD.,EXPIRED,SOUTH BEND,IN,46617,NA,2022,LWN2022-062,"1105 N. ST. LOUIS BLVD., SOUTH BEND, IN, 46617",FALSE,41.6899394,-86.2410536
Hotel and Motel License,THE OLIVER INN,630 W WASHINGTON ST,RENEWED,SOUTH BEND,IN,46601,574-232-4545,2022,HTM2022-013,"630 W WASHINGTON ST, SOUTH BEND, IN, 46601",FALSE,41.6762286,-86.2582299
Restaurant (A-M) License,LINDEN GRILL,4333 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-246-0250,2020,RST2020-067,"4333 W  WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6719513,-86.3072588
Restaurant (A-M) License,ICE BOX,1421 S  WALNUT ST,RENEWED,SOUTH BEND,IN,46624,574-288-3300,2020,698RESTAM2020,"1421 S  WALNUT ST, SOUTH BEND, IN, 46624",FALSE,41.6598272,-86.2709439
Restaurant (A-M) License,La Nonna,525 N EDDY ST,RENEWED,SOUTH BEND,IN,46617,574-931-2179,2020,RST2020-073,"525 N EDDY ST, SOUTH BEND, IN, 46617",FALSE,41.6829843,-86.2355613
Hotel and Motel License,KNIGHT INN,3233 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46628,574-204-2650,2022,HTM2022-018,"3233 LINCOLN WAY, SOUTH BEND, IN, 46628",FALSE,41.666636,-86.2385554
Restaurant (N-Z) License,SWEET STREET CORNER COFFEE,1105 NORTHSIDE BLVD,ACTIVE,South Bend,IN,46615,574-287-8724,2023,RST2023-288,"1105 NORTHSIDE BLVD, South Bend, IN, 46615",FALSE,41.6646926,-86.2341759
Restaurant (N-Z) License,NOM NOM PHO ASIAN KITCHEN,211 N  MAIN ST,RENEWED,SOUTH BEND,IN,46628,574-404-6480,2020,8351RESTZ2020,"211 N  MAIN ST, SOUTH BEND, IN, 46628",FALSE,41.678073,-86.252127
Restaurant (N-Z) License,The Downtown Soup Kitchen,"333 N MAIN ST, SOUTH BEND, IN, 46601",RENEWED,South Bend,IN,46601,574-233-9463,2021,RST2021-112,"333 N MAIN ST, SOUTH BEND, IN, 46601, South Bend, IN, 46601",FALSE,NA,NA
Arborist License,LONG BRANCH TREE SERVICE,"211 E PATTERSON ST,  LAKEVILLE,  46536",READY2ISSU,LAKEVILLE,IN,46536,574-347-0983,2021,ARB2021-034,"211 E PATTERSON ST,  LAKEVILLE,  46536, LAKEVILLE, IN, 46536",FALSE,NA,NA
Restaurant (N-Z) License,PAPA JOHN'S #1,1827   SOUTH BEND AVE,RENEWED,LOUISVILLE,KY,40272,574-271-1177,2020,871RESTZ2020,"1827   SOUTH BEND AVE, LOUISVILLE, KY, 40272",FALSE,NA,NA
Restaurant (N-Z) License,STAR 002 LLC,"2304 STATE ROAD 23 HWY,  SOUTH BEND,  46614",RENEWED,SOUTH BEND,IN,46635,574-387-5794,2021,RST2021-421,"2304 STATE ROAD 23 HWY,  SOUTH BEND,  46614, SOUTH BEND, IN, 46635",FALSE,NA,NA
Self Service Laundry/Dry Cleaner License,SAMPLE STREET SPIN CLOTHING CARE CENTER,5215 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-289-2008,2021,LND21-00018,"5215 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6646288,-86.3200541
Peddlers and Canvassers License,"STEVEN BURNES, METRO PUBLIC ADJUSTMENT",1733 Altgeld St.,ACTIVE,SOUTH BEND,IN,46614,215-633-8000,2023,PDL2023-003,"1733 Altgeld St., SOUTH BEND, IN, 46614",FALSE,41.6501963,-86.221458
Restaurant (A-M) License,KENTUCKY FRIED CHICKEN #071156,5011 W WESTERN AVE,READY2ISSU,SOUTH BEND,IN,46619,574-287-7676,2023,RST2023-192,"5011 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6725782,-86.3180799
Arborist License,B1 TREE SERVICE,24685 NASH AVE.,RENEWED,SOUTH BEND,IN,46619,574-246-0993,2022,ARB2022-003,"24685 NASH AVE., SOUTH BEND, IN, 46619",FALSE,NA,NA
Restaurant (A-M) License,MANDARIN HOUSE RESTAURANT,2104 EDISON RD,RENEWED,SOUTH BEND,IN,46617,574-287-4414,2022,RST2022-181,"2104 EDISON RD, SOUTH BEND, IN, 46617",FALSE,41.6943915,-86.2182518
Restaurant (N-Z) License,NICK'S PATIO RESTAURANT,1710 N  IRONWOOD DR,RENEWED,SOUTH BEND,IN,46635,574-277-7400,2021,RST2021-164,"1710 N  IRONWOOD DR, SOUTH BEND, IN, 46635",FALSE,41.698377,-86.216114
Tattoo/Body Piercing Est License,GENESIS TATTOO,2212   MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-204-2689,2020,8041TATEST2020,"2212   MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6656151,-86.2145127
Restaurant (A-M) License,CAFE NAVARRE,101 N  MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-968-8101,2020,5091RESTAM2020,"101 N  MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.676496,-86.250474
Lawn Parking License,1233 WHITE OAK DR.,1233 WHITE OAK DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-012,"1233 WHITE OAK DR., SOUTH BEND, IN, 46617",FALSE,41.6914861,-86.2243893
Restaurant (A-M) License,FINNIES NEXT DOOR,233 S MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-404-6100,2021,RST2021-413,"233 S MAIN ST, SOUTH BEND, IN, 46601",FALSE,41.6747423,-86.2520621
Secondhand Store License,MUEBLERIA ALEJANDRO,1708 S  MICHIGAN ST,RENEWED,SOUTH BEND,IN,46619,574-876-8434,2020,5271SECOND2020,"1708 S  MICHIGAN ST, SOUTH BEND, IN, 46619",FALSE,41.6566035,-86.2497703
Restaurant (A-M) License,"INNISFREE BED & BREAKFAST, LLC",702 W COLFAX AVE,ACTIVE,SOUTH BEND,IN,46601,574-318-4838,2023,RST2023-072,"702 W COLFAX AVE, SOUTH BEND, IN, 46601",FALSE,41.677434,-86.2595935
Automotive Repair License,DISCOUNT TIRE,"4005 S MICHIGAN ST, SOUTH BEND, 46614",RENEWED,South Bend,IN,46614,574-291-6056,2022,AUT2022-058,"4005 S MICHIGAN ST, SOUTH BEND, 46614, South Bend, IN, 46614",FALSE,NA,NA
Lawn Parking License,1203 WHITE OAK DR.,1203 WHITE OAK DR.,RENEWED,SOUTH BEND,IN,46617,NA,2021,LWN2021-059,"1203 WHITE OAK DR., SOUTH BEND, IN, 46617",FALSE,41.6910555,-86.2244278
Transient Merchant License,MICHIANA BOAT & SPORTS SHOW,909 Pine Lake Ave,RENEWED,LAPORTE,IN,46350,219-362-1491,2020,7622TRANS2020,"909 Pine Lake Ave, LAPORTE, IN, 46350",FALSE,41.6289489,-86.7365341
Restaurant (N-Z) License,ONE STOP #1,209 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46601,574-246-9740,2022,RST2022-503,"209 W SAMPLE ST, SOUTH BEND, IN, 46601",FALSE,41.6657563,-86.2523571
Massage Establishment License,SUN FLOWER MASSAGE SPA LLC,421 N HICKORY RD,ACTIVE,SOUTH BEND,IN,46615,574-234-7005,2023,MSE2023-004,"421 N HICKORY RD, SOUTH BEND, IN, 46615",FALSE,41.6839038,-86.1965589
Restaurant (A-M) License,LACOPOS PIZZERIA,3004 ARDMORE TRL,ACTIVE,SOUTH BEND,IN,46628,574-233-5331,2023,RST2023-208,"3004 ARDMORE TRL, SOUTH BEND, IN, 46628",FALSE,41.6903086,-86.2914267
Arborist License,ALEX'S TAKE DOWN TREE SERVICE,56352   PEPPERMINT RD,RENEWED,SOUTH BEND,IN,46619,574-876-3224,2020,4406ARBOR2020,"56352   PEPPERMINT RD, SOUTH BEND, IN, 46619",FALSE,NA,NA
Restaurant (A-M) License,Jersey Mikes Subs,315 W. Ireland Rd.,RENEWED,South Bend,IN,46614,574-800-5800,2021,RST2021-462,"315 W. Ireland Rd., South Bend, IN, 46614",FALSE,41.628657,-86.277703
Secondhand Store License,ECOATM LLC,"700 W IRELAND RD, SOUTH BEND, IN, 46614",RENEWED,SOUTH BEND,IN,46614,858-766-7250,2021,SHN2021-011,"700 W IRELAND RD, SOUTH BEND, IN, 46614, SOUTH BEND, IN, 46614",FALSE,NA,NA
